Rk,Player,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.,
,Andrew Ogletree,11,Sun,3,3,9/24/2023,25-058,IND,@,BAL,W 22-19 (OT),2,1,11,11,0,50,5.5,1,50,TE,
,Teagan Quitoriano,11,Sun,1,1,9/10/2023,23-179,HOU,@,BAL,L 9-25,1,1,11,11,0,100,11,1,100,TE,
,Khalil Shakir,11,Sun,2,2,9/17/2023,23-226,BUF,,LVR,W 38-10,1,1,11,11,1,100,11,1,100,WR,
,Khalil Shakir,11,Sun,5,5,10/8/2023,23-247,BUF,,JAX,L 20-25,1,1,11,11,0,100,11,,100,WR,
,Devin Singletary,11,Sun,4,4,10/1/2023,26-028,HOU,,PIT,W 30-6,1,1,11,11,0,100,11,1,100,RB,
,KaVontae Turpin,11,Sun,1,1,9/10/2023,27-039,DAL,@,NYG,W 40-0,3,2,11,5.5,0,66.7,3.7,1,66.7,WR,
,Kenneth Walker III,11,Sun,2,2,9/17/2023,22-332,SEA,@,DET,W 37-31 (OT),2,1,11,11,0,50,5.5,1,50,RB,
,Olamide Zaccheaus,11,Sun,4,4,10/1/2023,26-070,PHI,,WAS,W 34-31 (OT),2,1,11,11,0,50,5.5,1,50,WR,
,Calvin Austin III,10,Mon,2,2,9/18/2023,24-178,PIT,,CLE,W 26-22,4,1,10,10,0,25,2.5,1,25,WR,
,Tyler Boyd,10,Sun,1,1,9/10/2023,28-299,CIN,@,CLE,L 3-24,3,2,10,5,0,66.7,3.3,,0,WR,
,Gary Brightwell,10,Mon,4,4,10/2/2023,24-216,NYG,,SEA,L 3-24,2,1,10,10,0,50,5,,0,RB,
,Zach Ertz,10,Sun,5,5,10/8/2023,32-332,ARI,,CIN,L 20-34,4,2,10,5,1,50,2.5,1,25,TE,
,Luke Farrell,10,Sun,4,4,10/1/2023,25-352,JAX,,ATL,W 23-7,2,2,10,5,0,100,5,1,50,TE,
,Michael Gallup,10,Sun,1,1,9/10/2023,27-190,DAL,@,NYG,W 40-0,2,1,10,10,0,50,5,1,50,WR,
,Antonio Gibson,10,Sun,1,1,9/10/2023,25-079,WAS,,ARI,W 20-16,1,1,10,10,0,100,10,,0,RB,
,Deonte Harty,10,Sun,4,4,10/1/2023,25-301,BUF,,MIA,W 48-20,2,2,10,5,0,100,5,2,100,WR,
,Jalin Hyatt,10,Mon,4,4,10/2/2023,22-007,NYG,,SEA,L 3-24,2,2,10,5,0,100,5,,50,WR,
,Quentin Johnston,10,Sun,3,3,9/24/2023,22-018,LAC,@,MIN,W 28-24,3,2,10,5,0,66.7,3.3,1,33.3,WR,
,Roschon Johnson,10,Sun,2,2,9/17/2023,22-229,CHI,@,TAM,L 17-27,2,2,10,5,0,100,5,0,0,RB,
,Dawson Knox,10,Sun,2,2,9/17/2023,26-307,BUF,,LVR,W 38-10,5,3,10,3.3,1,60,2,2,40,TE,
,Tyler Lockett,10,Sun,1,1,9/10/2023,30-347,SEA,,LAR,L 13-30,4,2,10,5,0,50,2.5,1,50,WR,
,Chris Manhertz,10,Sun,4,4,10/1/2023,31-174,DEN,@,CHI,W 31-28,1,1,10,10,0,100,10,1,100,TE,
,Alexander Mattison,10,Sun,1,1,9/10/2023,25-083,MIN,,TAM,L 17-20,4,3,10,3.3,1,75,2.5,1,25,RB,
